method,disk_radius,min_area_pixels,median_size,n_segments,slic_compactness,f1
median7+morphological+slic,4,2,7,300.0,0.05,0.0
median5+morphological+slic,4,2,5,300.0,0.05,0.0
median7+morphological+slic,4,2,7,200.0,0.05,0.0
median5+morphological+slic,4,2,5,200.0,0.1,0.0
median5+morphological+slic,4,2,5,200.0,0.05,0.0
median3+morphological+slic,4,2,3,200.0,0.1,0.0
median3+morphological+slic,4,2,3,300.0,0.05,0.0
morphological+slic,4,2,0,400.0,0.05,0.0
morphological+slic,4,2,0,300.0,0.05,0.0
median3+morphological+slic,4,2,3,200.0,0.05,0.0
morphological+slic,4,2,0,400.0,0.1,0.0
morphological+slic,4,2,0,200.0,0.1,0.0
morphological+slic,4,2,0,200.0,0.05,0.0
median3+morphological+slic,3,6,3,200.0,0.05,0.0
median3+morphological+slic,3,2,3,300.0,0.05,0.0
median7+morphological+slic,3,6,7,300.0,0.05,0.0
median7+morphological+slic,3,6,7,200.0,0.05,0.0
median7+morphological+slic,3,6,7,200.0,0.1,0.0
median3+morphological+slic,3,6,3,200.0,0.1,0.0
morphological+slic,3,8,0,200.0,0.05,0.0
morphological+slic,3,8,0,200.0,0.1,0.0
morphological+slic,3,8,0,300.0,0.05,0.0
median3+morphological+slic,3,8,3,200.0,0.05,0.0
median5+morphological+slic,3,8,5,200.0,0.1,0.0
median5+morphological+slic,3,8,5,200.0,0.05,0.0
median3+morphological+slic,3,8,3,300.0,0.05,0.0
median3+morphological+slic,3,8,3,200.0,0.1,0.0
median7+morphological+slic,3,8,7,300.0,0.05,0.0
median7+morphological+slic,3,8,7,200.0,0.1,0.0
median7+morphological+slic,3,8,7,200.0,0.05,0.0
median5+morphological+slic,3,8,5,300.0,0.05,0.0
median3+morphological+slic,3,6,3,300.0,0.05,0.0
morphological+slic,4,6,0,200.0,0.05,0.0
median7+morphological+slic,4,4,7,200.0,0.1,0.0
median7+morphological+slic,4,4,7,300.0,0.05,0.0
median5+morphological+slic,4,4,5,300.0,0.05,0.0
median5+morphological+slic,4,4,5,200.0,0.1,0.0
median5+morphological+slic,4,4,5,200.0,0.05,0.0
median7+morphological+slic,4,4,7,200.0,0.05,0.0
median3+morphological+slic,4,4,3,200.0,0.1,0.0
median3+morphological+slic,4,4,3,200.0,0.05,0.0
morphological+slic,4,4,0,400.0,0.1,0.0
morphological+slic,4,4,0,400.0,0.05,0.0
morphological+slic,4,4,0,300.0,0.05,0.0
morphological+slic,4,4,0,200.0,0.1,0.0
morphological+slic,4,4,0,200.0,0.05,0.0
median3+morphological+slic,4,4,3,300.0,0.05,0.0
morphological+slic,4,6,0,200.0,0.1,0.0
